Comune;Provincia;Regione;Longitudine;Latitudine;Tipo;Nome
ALBANELLA;SALERNO;Campania;15.1158716003;40.4745947;Autobus;
AMALFI;SALERNO;Campania;14.5910431999;40.6370187996;Autobus;
AMALFI;SALERNO;Campania;14.5768432994;40.6207465002;Autobus;
AMALFI;SALERNO;Campania;14.5804706999;40.6242599998;Autobus;
AMALFI;SALERNO;Campania;14.5604625007;40.6207460995;Autobus;
AMALFI;SALERNO;Campania;14.5766523999;40.6232655003;Autobus;
AMALFI;SALERNO;Campania;14.6029653001;40.633669;Autobus;Amalfi
BATTIPAGLIA;SALERNO;Campania;14.9864757005;40.6100736005;Autobus;
BATTIPAGLIA;SALERNO;Campania;14.9746633005;40.6128902004;Autobus;
BATTIPAGLIA;SALERNO;Campania;14.9807867997;40.6100212001;Autobus;
BATTIPAGLIA;SALERNO;Campania;14.9779034997;40.6120227999;Autobus;
BATTIPAGLIA;SALERNO;Campania;14.9746097002;40.6129859001;Autobus;
BATTIPAGLIA;SALERNO;Campania;14.9812695996;40.6091741006;Autobus;
BATTIPAGLIA;SALERNO;Campania;14.9834288;40.6085714;Autobus;
CAMEROTA;SALERNO;Campania;15.3741937997;40.0004478999;Autobus;
CAMPAGNA;SALERNO;Campania;15.1037710994;40.6652341001;Autobus;
CAMPAGNA;SALERNO;Campania;15.1067133995;40.6629728;Autobus;
CAMPAGNA;SALERNO;Campania;15.1072269;40.6390861997;Autobus;
CAMPAGNA;SALERNO;Campania;15.1065953003;40.6371289997;Autobus;
CAMPAGNA;SALERNO;Campania;15.1055117;40.6364328007;Autobus;
CAMPAGNA;SALERNO;Campania;15.1252937997;40.6382466;Autobus;
CAMPAGNA;SALERNO;Campania;15.1150302999;40.6510524998;Autobus;
CAMPAGNA;SALERNO;Campania;15.1546959009;40.6411406002;Autobus;
CAMPAGNA;SALERNO;Campania;15.1472389004;40.6382995001;Autobus;
CAMPAGNA;SALERNO;Campania;15.1472280996;40.6486711004;Autobus;
CAMPAGNA;SALERNO;Campania;15.1753811994;40.6525316001;Autobus;
CAMPAGNA;SALERNO;Campania;15.1412068997;40.6329136998;Autobus;
CAMPAGNA;SALERNO;Campania;15.1257421001;40.6745989005;Autobus;
CAMPAGNA;SALERNO;Campania;15.1669611993;40.6458674004;Autobus;
