Nome;Descrizione;Tipo;Latitudine;Longitudine
Masseria Cugno;pernottamento e ristorazione;agriturismi;40.746981;15.042204
San Leo;pernottamento e ristorazione;agriturismi;40.763152;15.037362
Valle dei Pioppi;pernottamento e ristorazione;agriturismi;40.734513;15.043651
La rosa dei venti;ristorazione;agriturismi;40.60637;15.076898
Aurella;pernottamento e ristorazione;agriturismi;40.137992;15.181064
La focazza;pernottamento e ristorazione;agriturismi;40.141308;15.190134
Tempa del Niglio;pernottamento e ristorazione;agriturismi;40.177954;15.178867
Le Favate;pernottamento e ristorazione;agriturismi;40.167853;15.222896
La fattoria;pernottamento e ristorazione;agriturismi;40.176216;15.143171
La Casa Vecchia;pernottamento e ristorazione;agriturismi;40.129185;15.186054
Barnia;pernottamento;agriturismi;40.160574;15.169372
La tenuta dei ciliegi;pernottamento e ristorazione;agriturismi;40.583059;15.384239
Il casale della stella;pernottamento e ristorazione;agriturismi;40.737133;14.794075
Tempa delle craste;ristorazione;agriturismi;40.586358;14.970013
Villa Vea;pernottamento e ristorazione;agriturismi;40.423622;15.334913
Società agricola la giarla di Comentale Umberto & c. s.a.s.;ristorazione;agriturismi;40.627986;15.397594
La Dolce Mela;pernottamento;agriturismi;40.274774;15.635391
Il Capitano;pernottamento e ristorazione;agriturismi;40.550568;15.50736
I due boschi;ristorazione;agriturismi;40.546472;15.496269
Casale pie' d'eco;pernottamento e ristorazione;agriturismi;40.772;14.8295
Agr. Incartata;pernottamento e ristorazione;agriturismi;40.780133;14.825979
Fattoria Naimoli Agriturismo;ristorazione;agriturismi;40.63034;15.139207
La Tenuta Dei Principi;ristorazione;agriturismi;40.625627;15.141242
L'Antico Casale Realis & Nature;pernottamento e ristorazione;agriturismi;40.670348;15.119556
Terraria;pernottamento e ristorazione;agriturismi;40.670554;15.111382
Tenuta Seliano;pernottamento e ristorazione;agriturismi;40.446696;14.993861
Tempa dei Maida;nd;agriturismi;40.400481;15.050166
La Provvidenza;pernottamento e ristorazione;agriturismi;40.479114;15.032364
Podere Rega;ristorazione;agriturismi;40.419011;15.012855
La Brezza;pernottamento e ristorazione;agriturismi;40.461418;15.066056
Masseria Eliseo;pernottamento e ristorazione;agriturismi;40.472228;15.002723
Masseria Feudo;pernottamento e ristorazione;agriturismi;40.458293;15.03467
Agrimediterraneo;pernottamento e ristorazione;agriturismi;40.458441;15.056757
Villa Jogi Gaira;pernottamento e ristorazione;agriturismi;40.39357;15.069421
Terre di Paestum;pernottamento e ristorazione;agriturismi;40.402905;15.04623
Il Casale Del Feudo;nd;agriturismi;40.464872;15.046675
Soc.frau e Magi Soc. Agr. di Scovotto g. s.a.s.;nd;agriturismi;40.431862;15.080226
Borgo La Pietraia;ristorazione;agriturismi;40.428937;15.067274
La Locanda del Gallo;ristorazione;agriturismi;40.244275;15.667475
I Moresani;pernottamento e ristorazione;agriturismi;40.192825;15.099024
Spina Rossa;pernottamento e ristorazione;agriturismi;40.203883;15.109792
Bertolini;pernottamento e ristorazione;agriturismi;40.197907;15.141093
Zio cristoforo;pernottamento e ristorazione;agriturismi;40.187512;15.127321
La Botte s.r.l.s.;pernottamento e ristorazione;agriturismi;40.482092;15.180651
Il Casolare degli Alburni;pernottamento;agriturismi;40.4821;15.180704
La Regina degli Alburni;pernottamento e ristorazione;agriturismi;40.479715;15.207986
Agricampeggio pugliese;campeggio;agriturismi;40.491226;15.20481
L'Antico Casolare;pernottamento;agriturismi;40.477053;15.18122
Raggio di Sole;pernottamento e ristorazione;agriturismi;40.280546;14.963639
Parmenide;pernottamento e ristorazione;agriturismi;40.191574;15.152052
La Selva;pernottamento e ristorazione;agriturismi;40.726875;14.719019
Tenuta antica;ristorazione;agriturismi;40.72689;14.710278
Tenuta na.ri.s.r.l.;ristorazione;agriturismi;40.687804;14.703905
Sopra il Limoneto;pernottamento;agriturismi;40.658386;14.707933
"Soc.agr.""Casina Rossa""sas";campeggio e ristorazione;agriturismi;40.499071;14.941828
La casa di Angiu;pernottamento;agriturismi;40.607822;15.030645
Barone Antonio Negri;pernottamento e ristorazione;agriturismi;40.753996;14.815666
Masseria nobile;pernottamento e ristorazione;agriturismi;40.780725;14.791344
Serafina;pernottamento e ristorazione;agriturismi;40.620196;14.539068
Agriturismo Sant'Alfonso;pernottamento e ristorazione;agriturismi;40.620351;14.541449
Antico Borgo dei briganti;ristorazione;agriturismi;40.720355;14.936774
Agriturismo Barone Fortunato;pernottamento e ristorazione;agriturismi;40.66385;14.893842
La gardenia;pernottamento;agriturismi;40.687304;14.885587
Agriturismo Fasani;pernottamento;agriturismi;40.158097;15.42113
Agriturismo la Vammora;ristorazione;agriturismi;40.78539;15.280433
La Valle Del Mulino;ristorazione;agriturismi;40.2235;15.006598
Agriturismo Vecchia Quercia;pernottamento;agriturismi;40.67251;14.954581
Terra Di Vento;pernottamento e ristorazione;agriturismi;40.651418;14.923655
Villa Ambrosia;ristorazione;agriturismi;40.689575;14.978154
La Vecchia Lanterna;ristorazione;agriturismi;40.682704;14.992144
Mangiarelli;ristorazione;agriturismi;40.701565;14.964316
Il Rifugio;nd;agriturismi;40.637245;14.990025
Il poggio di Vallelunga;pernottamento e ristorazione;agriturismi;40.239344;15.778693
Tenuta Iris;ristorazione;agriturismi;40.72794;14.685407
Conca d'oro;pernottamento e ristorazione;agriturismi;40.367782;15.0462
Marrata;nd;agriturismi;40.365317;15.049893
Chiusulelle;pernottamento e ristorazione;agriturismi;40.360005;15.052058
Fuoco;ristorazione;agriturismi;40.691379;15.195505
Fattoria Alvaneta;pernottamento e ristorazione;agriturismi;40.322883;15.676116
Il Monaco di Tratuolo;ristorazione;agriturismi;40.679175;15.294389
Parco dell'Olmo;ristorazione;agriturismi;40.641283;15.279965
Il Vecchio Casale;pernottamento e ristorazione;agriturismi;40.284372;15.030432
La Mimosa;pernottamento e ristorazione;agriturismi;40.281572;14.975401
La Lamia;pernottamento e ristorazione;agriturismi;40.282599;14.982491
Eucalipto;pernottamento e ristorazione;agriturismi;40.271227;14.991332
San Nazario;ristorazione;agriturismi;40.286891;14.995017
Agricampeggio Valle di Marco;pernottamento e ristorazione;agriturismi;40.083257;15.26767
Il Pozzo di Peppino di Parisi Maria s.a.s;pernottamento e ristorazione;agriturismi;40.493017;15.48593
La Casa sull'Alento;pernottamento e ristorazione;agriturismi;40.322922;15.093041
Agriturismo Ponte di Annibale;ristorazione;agriturismi;40.648786;15.463367
Agriturismo Callisto;ristorazione;agriturismi;40.658535;15.441065
Il Querceto;pernottamento e ristorazione;agriturismi;40.477105;15.153423
Relaise Colle Del Sole;pernottamento e ristorazione;agriturismi;40.464139;15.161564
Quaglia;pernottamento;agriturismi;40.442631;15.196706
Tenuta Porta Ventura;ristorazione;agriturismi;40.4615;15.140121
La Fonte;pernottamento e ristorazione;agriturismi;40.354307;15.634999
Macchiapiede;pernottamento e ristorazione;agriturismi;40.393849;15.593703
Villa delle Acacie;pernottamento e ristorazione;agriturismi;40.37791;15.604563
Agriturismo la Palazza;pernottamento e ristorazione;agriturismi;40.378075;15.614801
Masseria della Fontana Vecchia;pernottamento e ristorazione;agriturismi;40.720278;14.880881
La Vecchia Quercia;pernottamento e ristorazione;agriturismi;40.679534;14.865135
La Mazzarella;pernottamento e ristorazione;agriturismi;40.701511;14.878487
Fondo Lazzaro;pernottamento e ristorazione;agriturismi;40.681289;14.869417
La Bettola;pernottamento e ristorazione;agriturismi;40.667554;15.395699
La Sfruscia;pernottamento e ristorazione;agriturismi;40.666732;15.414886
Antica Quercia;pernottamento e ristorazione;agriturismi;40.653541;15.367144
Le Agavi;pernottamento e ristorazione;agriturismi;40.198269;15.029273
Villa Rosalia;pernottamento;agriturismi;40.784449;14.606653
La Rocca degli Ulivi;pernottamento e ristorazione;agriturismi;40.454704;15.349245
Corte San Lorenzo;pernottamento e ristorazione;agriturismi;40.740798;14.59707
Salella;pernottamento e ristorazione;agriturismi;40.2521;15.195571
San Basilio;pernottamento e ristorazione;agriturismi;40.24157;15.181632
Il Giardino dei Ciliegi;pernottamento e ristorazione;agriturismi;40.265863;15.601283
Sirippi;pernottamento e ristorazione;agriturismi;40.241771;15.496515
Villa Giò;pernottamento;agriturismi;40.275799;15.094361
La Cava;pernottamento e ristorazione;agriturismi;40.780087;14.558248
Acqua della Battaglia;pernottamento e ristorazione;agriturismi;40.553485;15.318053
La Loggia degli Alburni;pernottamento e ristorazione;agriturismi;40.556298;15.303799
Antica Tenuta Chiola;pernottamento e ristorazione;agriturismi;40.622536;15.276253
Cilento Antico;ristorazione;agriturismi;40.223065;15.080687
I Fornari;pernottamento e ristorazione;agriturismi;40.229337;15.120919
La Roccia;pernottamento e ristorazione;agriturismi;40.239855;15.093756
Margherita;pernottamento;agriturismi;40.323823;15.024869
Il Ritrovo Dei Sapori;ristorazione;agriturismi;40.31216;15.069419
Mare e Monti;pernottamento e ristorazione;agriturismi;40.629665;14.574243
Agriturismo costiera amalfitana;pernottamento e ristorazione;agriturismi;40.699486;14.618232
Monte di grazia;pernottamento e ristorazione;agriturismi;40.709836;14.627836
Il raduno;pernottamento e ristorazione;agriturismi;40.699486;14.618296
Arguto;pernottamento;agriturismi;40.699486;14.618296
Green park;pernottamento e ristorazione;agriturismi;40.416634;15.110272
Manzi;pernottamento e ristorazione;agriturismi;40.401062;15.115149
Mauro;pernottamento e ristorazione;agriturismi;40.399975;15.109221
Castello Doria;Nel 1290 Carlo D'Angiò assegnò questa fortezza al Milite Pietro de Brahmeriis, arricchito da un vasto parco, oggi divenuto la Villa comunale di Angri, o meglio conosciuto come: Giardini Villa Doria. Presenta una facciata a portico e logge con una torre circolare, fornita di merli che si elevano alla destra del complesso, circondata infine da un grande anello su due piani che cinge e difende il corpo della torre.;generici;40.738021186352;14.571891233555174
Monumento ai caduti di Angri;alla base del monumento c'è un angelo che brandisce una spada e con alcune armi da fuoco poste dinanzi a se mentre, sulla cima del monumento c'è un'altra statua che raffigura un soldato che impugna con la mano sinistra la bandiera del Regno d'Italia.;generici;40.73821398901729;14.572585209090096
Sentiero della Casa Rossa;Sentiero che va da Angri a Corbara. Utilizzato per praticare attività fisica. Lunghezza totale del percorso è di 8,7 km.;generici;40.72165574206721;14.568168853141112
Chiesa parrocchiale di San Giovanni Battista;"La sua ""prima"" costruzione risale al XIV secolo. Quest'ultima infatti, a causa dell'eruzione del Vesuvio nel 1631, gode di una ""seconda vita"" grazie alla ristrutturazione avvenuta pochi anni dopo il tragico evento. la Chiesa viene considerata un patrimonio architettonico, oltre che religioso.";generici;40.824362578556894;14.709234854992106
Chiesa Parrocchiale dei Santi Nazario e Celso;Chiesa pre-romanica, edificata con materiali di recupero ancora oggi individuabili in facciata, venne aggiunta in epoca romanica la navata sinistra ed in seguito la navata destra in epoca gotica.;generici;40.81642650912978;14.71469475129684
Eremo di Santa Maria a Castello - Castello di Lanzara;L'Eremo, dedicato alla Madonna del Castello, è situato in Castel San Giorgio ad un’altezza di 280 metri sul livello del mare, proprio sulla sommità della collina denominata Sant’Apollinare, primo baluardo montuoso all’estremità orientale della vasta pianura vesuviana che annuncia i primi rilievi dell’appennino campano verso la Valle dell’Irno e l’Irpinia. La fortificazione è momentaneamente chiusa;generici;40.77612;14.65683
Palazzo Conforti ex Sarnelli, oggi Villa Soglia;"Villa Soglia è una dimora storica del borgo di Castel San Giorgio, oggi funzionante come albergo, nella zona di Cortedomini. Si compone di tre piani: un ""piano nobile"" con raffinati saloni tipicamente rinascimentali, un'antica scuderia e un parco privato di 5 ettari. Originariamente Palazzo Sarnelli, la villa ospitava la dimora dell'ultimo principe di Salerno, Ferrante Sanseverino, ed inseguito, a partire dalla seconda metà del 700, delle famiglie nobiliari Sarnelli e Sarno-Prignano";generici;40.78357;14.699383
