Comune,Provincia,Regione,Nome,Longitudine,Latitudine,Tipo
ANGRI,SALERNO,Campania,Angri,14.5753926,40.7462452,Treni
ASCEA,SALERNO,Campania,Ascea,15.1722966,40.1410482,Treni
BARONISSI,SALERNO,Campania,Baronissi,14.7725056,40.7458702,Treni
BUCCINO,SALERNO,Campania,Buccino-San Gregorio Magno,15.3741512,40.6008959,Treni
BUCCINO,SALERNO,Campania,Ponte San Cono,15.3901864,40.6087171,Treni
CAMPAGNA,SALERNO,Campania,Campagna-Serre-Persano,15.1139694,40.5955797,Treni
CASAL VELINO,SALERNO,Campania,Vallo della Lucania,15.1584283,40.2295541,Treni
CASTEL SAN GIORGIO,SALERNO,Campania,Codola,14.6657847,40.76758,Treni
CAVA DE' TIRRENI,SALERNO,Campania,Cava de' Tirreni,14.7084963,40.7035861,Treni
CELLE DI BULGHERIA,SALERNO,Campania,Celle Bulgheria - Roccagloriosa,15.3946711,40.1028093,Treni
CENTOLA,SALERNO,Campania,Centola,15.3466236,40.0905073,Treni
CONTURSI TERME,SALERNO,Campania,Contursi Terme,15.2356715,40.6300705,Treni
EBOLI,SALERNO,Campania,Eboli,15.052418,40.6112026,Treni
FISCIANO,SALERNO,Campania,Fisciano,14.7756577,40.7610843,Treni
MERCATO SAN SEVERINO,SALERNO,Campania,Mercato San Severino,14.7596289,40.7831236,Treni
NOCERA INFERIORE,SALERNO,Campania,Nocera Inferiore,14.6360666,40.7453028,Treni
NOCERA INFERIORE,SALERNO,Campania,Nocera Inferiore Mercato,14.649499,40.7460233,Treni
NOCERA SUPERIORE,SALERNO,Campania,Nocera Superiore,14.6724347,40.7426946,Treni
PAGANI,SALERNO,Campania,Pagani,14.6168352,40.7463862,Treni
PELLEZZANO,SALERNO,Campania,Pellezzano,14.7702965,40.7221599,Treni
PISCIOTTA,SALERNO,Campania,Pisciotta-Palinuro,15.2436728,40.0913398,Treni
ROMAGNANO AL MONTE,SALERNO,Campania,Romagnano Vietri Salvitelle,15.4476874,40.6101017,Treni
SALERNO,SALERNO,Campania,Arbostella,14.8131339,40.6517094,Treni
SALERNO,SALERNO,Campania,Fratte,14.775456,40.699389,Treni
SALERNO,SALERNO,Campania,Mercatello,14.804732,40.6588268,Treni
SALERNO,SALERNO,Campania,Pastena,14.7997187,40.6649562,Treni
SALERNO,SALERNO,Campania,Salerno Duomo-Via Vernieri,14.7623398,40.6813931,Treni
SALERNO,SALERNO,Campania,Salerno Irno,14.7758125,40.6828744,Treni
SALERNO,SALERNO,Campania,Stadio Arechi - San Leonardo,14.8243343,40.648317,Treni
SALERNO,SALERNO,Campania,Torrione,14.7902878,40.6703629,Treni
SAN VALENTINO TORIO,SALERNO,Campania,San Valentino Torio,14.6005218,40.7975604,Treni
SARNO,SALERNO,Campania,Sarno,14.6120696,40.8132556,Treni
SARNO,SALERNO,Campania,Sarno,14.6185895,40.8123954,Treni
SCAFATI,SALERNO,Campania,San Pietro,14.534354,40.7606384,Treni
SCAFATI,SALERNO,Campania,Scafati,14.523288,40.7461355,Treni
SCAFATI,SALERNO,Campania,Scafati,14.5242044,40.7536469,Treni
SICIGNANO DEGLI ALBURNI,SALERNO,Campania,Sicignano degli Alburni,15.2908685,40.6055856,Treni
TORRE ORSAIA,SALERNO,Campania,Torre Orsaia,15.4812566,40.0991016,Treni
VIETRI SUL MARE,SALERNO,Campania,Vietri sul Mare - Amalfi,14.727667,40.6743545,Treni
